index,fips,state,county_name,health_outcomes_r,health_factors_r,length_life_r,quality_life_r,yppl,%poor_fair_health,%adult_obesity,food_environment_index,graduation_cohort,graduation_rate,%some_college,life_expectancy,%diabetes,%food_insecure,%limited_access,household_income,%lunch_aid,%african_american,%american_indian,%asian,%pacific_islander,%hispanic,%white,year
23,36121,New York,Wyoming,24,36,24,17,6255.4935911,16.198448681,35.8,8.3,339.0,93.805309735,52.717909594,78.716163103,11.5,10.4,6.0666590039,53986,44.273318872,5.2823944879,0.4025387104,0.5531820315,0.0296347517,3.3758921295,89.761193293,2019
24,36025,New York,Delaware,25,48,25,21,6292.5175312,14.980642338,29.9,8.6,460.0,87.391304348,53.495509833,79.812157178,9.9,11.5,0.7892579852,45385,57.743506494,1.6466300749,0.3444367903,1.004422124,0.0399991111,3.819915113,92.204617675,2019
25,36049,New York,Lewis,26,45,42,10,6954.4671553,13.219475313,37.1,8.1,300.0,91.666666667,55.273566249,79.508348161,10.7,11.4,6.3010446725,51857,50.581665891,0.7156039321,0.3465029566,0.4670257241,0.1092237581,1.8681028963,95.638582351,2019
26,36107,New York,Tioga,27,22,29,26,6430.4026239,15.097221829,33.0,8.8,612.0,86.928104575,60.636609727,79.818228547,11.6,9.5,2.7423352026,57190,51.007147498,0.8213594631,0.2449668574,0.7945983779,0.0411709004,2.0132570299,94.91951089,2019
27,36085,New York,Richmond,28,21,14,57,5606.3197789,17.728900609,28.0,9.1,4707.0,79.689823667,68.070229205,80.683519148,10.7,9.0,0.1720707818,78466,56.091136991,9.5956267285,0.6373863821,9.5495330144,0.1067872473,18.57639251,60.878950815,2019
28,36019,New York,Clinton,29,41,21,40,6127.0058637,15.343039176,36.0,7.6,866.0,87.066974596,53.735837501,79.669144898,11.1,12.2,9.9285943145,56436,46.71180781,4.1269449247,0.4038034082,1.5337120277,0.0456902939,2.9883921956,89.673993579,2019
29,36083,New York,Rensselaer,30,17,22,38,6216.6458694,14.204827402,31.1,8.3,1636.0,86.491442543,72.088720024,79.150015233,9.3,11.1,4.2813715275,63457,46.083833514,6.8168442669,0.3261917582,2.8317952442,0.0488348506,5.0475200661,83.062446,2019
30,36111,New York,Ulster,31,26,36,24,6657.2387268,13.855392511,28.0,8.2,1842.0,86.210640608,63.894423478,79.58128829,8.2,9.9,8.1205790059,62531,46.073534044,6.0167096763,0.438642938,2.1636745682,0.0429167805,10.289994817,79.140215253,2019
31,36077,New York,Otsego,32,15,39,23,6793.2264259,14.765066944,29.0,7.9,587.0,86.371379898,63.566834695,79.522663384,9.4,11.2,9.1166193029,51561,45.142692419,1.9419575998,0.2529370653,1.5858488368,0.0665623856,3.6625952674,91.243718175,2019
32,36045,New York,Jefferson,33,51,30,32,6543.8992987,17.470505396,32.5,7.8,1235.0,85.748987854,64.194249819,78.656582823,11.6,13.0,6.3536784148,47436,51.084404695,6.2362615709,0.6550658131,1.6910856753,0.3730722411,7.5866779931,81.35689702,2019
33,36067,New York,Onondaga,34,19,34,28,6641.2021131,14.091910894,29.6,8.1,5617.0,84.084030621,72.311726581,79.273942281,10.4,12.5,3.7526292134,57641,46.090915458,10.883372941,0.9265188076,4.1340959781,0.0526431141,4.884206636,76.665348798,2019
34,36115,New York,Washington,35,42,32,29,6609.1469903,14.276032344,34.8,8.4,690.0,79.565217391,55.236429676,79.047370509,12.0,10.6,4.2864428929,53609,48.519056667,2.9584550471,0.329438494,0.5761116521,0.0357026939,2.7913015255,92.3531321,2019
35,36033,New York,Franklin,36,56,19,55,6010.0659808,15.099771256,34.4,7.6,574.0,86.06271777,50.342309448,78.666968315,12.3,12.9,9.0543657933,50187,57.568744895,6.1468033492,7.4497222005,0.4714766414,0.0254323499,3.6348697081,81.223100399,2019
36,36099,New York,Seneca,37,38,47,15,7170.1190222,15.186621656,36.7,8.3,351.0,82.621082621,54.038417033,78.121369452,11.5,10.7,5.9773752186,54563,55.216412309,4.9597078091,0.4579975651,0.7681604731,0.0086961563,3.4146907067,88.973273813,2019
37,36101,New York,Steuben,38,31,38,35,6707.7826735,16.238676052,32.3,8.3,1236.0,86.488673139,62.473108641,79.010260759,12.4,11.9,2.9632965533,50807,50.98883358,1.4457681162,0.2949699318,1.6036393473,0.028042916,1.6514161673,93.682034877,2019
38,36055,New York,Monroe,39,24,23,52,6252.4828854,14.642450268,29.9,7.9,8449.0,82.992070067,72.33828943,79.976341123,8.8,12.5,5.7833766299,57660,45.423525614,14.641365787,0.4111593517,3.8859507625,0.0691507433,8.7921759345,70.375527325,2019
39,36003,New York,Allegany,40,49,33,42,6617.2816922,14.908414874,34.6,8.2,502.0,87.848605578,59.542064909,78.48667987,11.0,12.4,2.9916992658,46491,55.555555556,1.2624216318,0.2985456562,1.3306606389,0.0362519725,1.5822919777,94.400136478,2019
40,36089,New York,St. Lawrence,41,57,37,47,6663.9503831,17.128410745,33.2,7.7,1037.0,84.763741562,58.592976761,79.267623159,10.1,13.4,6.7875167022,49607,52.47440273,2.2933143592,0.9888435821,1.1284128331,0.0757140381,2.3526084854,91.990731872,2019
41,36037,New York,Genesee,42,29,48,27,7215.9394621,16.707993344,35.1,8.8,671.0,91.356184799,64.138085967,78.833843696,13.0,10.3,1.2225360638,55522,44.918265814,2.7193042998,1.1664020981,0.7074332252,0.0120781282,3.3663468838,90.404789841,2019
42,36039,New York,Greene,43,43,43,41,7022.9003655,16.408318061,27.0,8.3,455.0,87.032967033,50.911797544,78.920698491,10.2,10.4,6.0254200789,54635,45.19115378,5.6498841373,0.4213187276,1.2618495892,0.0442384664,5.7151885401,85.304402781,2019
43,36035,New York,Fulton,44,58,41,50,6911.0033632,16.576267459,32.3,8.2,629.0,78.060413355,55.538123627,78.310045693,11.1,12.2,3.495187159,46984,52.925369488,1.8969133396,0.293260575,0.7034541641,0.0352655122,3.0792360376,92.765001763,2019
44,36043,New York,Herkimer,45,44,55,33,7447.6842827,14.152936805,31.6,8.1,735.0,85.034013605,60.799065079,78.374792913,11.8,11.4,6.5700996273,46733,54.336413272,1.184125964,0.3341902314,0.6008997429,0.0289203085,2.2622107969,94.461760925,2019
45,36017,New York,Chenango,46,30,58,25,7620.3943947,16.211904312,35.6,8.6,584.0,85.273972603,56.80608365,77.305242755,11.0,11.0,1.6152908549,48161,50.960526316,0.864968765,0.4115914172,0.6079852914,0.0167143723,2.2355472912,94.663936653,2019
