,Year,Month,Month Code,District Code,District,Total SNAP Households,Total SNAP Persons,Total SNAP Benefits,Temporary Assistance SNAP Households,Temporary Assistance SNAP Persons,Temporary Assistance SNAP Benefits,Non-Temporary Assistance SNAP Households,Non-Temporary Assistance SNAP Persons,Non-Temporary Assistance SNAP Benefits,population,%Total SNAP Persons,%nyspopulation,Community District,Households Receiving SNAP Benefits,mean_population,%Individuals Receiving SNAP Benefits
36,2020,June,6.0,3.0,Broome,15752.0,27100,4717933.0,6055.0,8101.0,1464201.0,9697.0,18999.0,3253732.0,0,inf,0.2394854361214381,,,,
37,2020,May,5.0,3.0,Broome,15866.0,27469,4862851.0,6064.0,8140.0,1498320.0,9802.0,19329.0,3364531.0,0,inf,0.2394854361214381,,,,
38,2020,April,4.0,3.0,Broome,16018.0,27136,6109247.0,6064.0,8135.0,1705557.0,9954.0,19001.0,4403690.0,0,inf,0.2394854361214381,,,,
39,2020,March,3.0,3.0,Broome,15407.0,26606,3392416.0,5969.0,8076.0,1258609.0,9438.0,18530.0,2133807.0,0,inf,0.2394854361214381,,,,
40,2020,February,2.0,3.0,Broome,15519.0,26917,3416865.0,5987.0,8139.0,1268896.0,9532.0,18778.0,2147969.0,0,inf,0.2394854361214381,,,,
41,2020,January,1.0,3.0,Broome,15588.0,27021,3453745.0,6025.0,8223.0,1287902.0,9563.0,18798.0,2165843.0,0,inf,0.2394854361214381,,,,
42,2019,December,12.0,3.0,Broome,15526.0,26965,3470827.0,6045.0,8297.0,1306908.0,9481.0,18668.0,2163919.0,0,inf,0.2328271391546257,,,,
43,2019,November,11.0,3.0,Broome,15538.0,27047,3477882.0,6087.0,8339.0,1316553.0,9451.0,18708.0,2161329.0,0,inf,0.2328271391546257,,,,
44,2019,October,10.0,3.0,Broome,15588.0,27135,3510710.0,6104.0,8419.0,1330628.0,9484.0,18716.0,2180082.0,0,inf,0.2328271391546257,,,,
45,2019,September,9.0,3.0,Broome,15515.0,26919,3441282.0,6125.0,8418.0,1312301.0,9390.0,18501.0,2128981.0,0,inf,0.2328271391546257,,,,
46,2019,August,8.0,3.0,Broome,15499.0,26934,3438300.0,6148.0,8540.0,1325959.0,9351.0,18394.0,2112341.0,0,inf,0.2328271391546257,,,,
47,2019,July,7.0,3.0,Broome,15600.0,27198,3467222.0,6189.0,8681.0,1341448.0,9411.0,18517.0,2125774.0,0,inf,0.2328271391546257,,,,
48,2019,June,6.0,3.0,Broome,15708.0,27412,3479310.0,6265.0,8837.0,1364990.0,9443.0,18575.0,2114320.0,0,inf,0.2328271391546257,,,,
49,2019,May,5.0,3.0,Broome,15749.0,27531,3492960.0,6293.0,8843.0,1367158.0,9456.0,18688.0,2125802.0,0,inf,0.2328271391546257,,,,
50,2019,April,4.0,3.0,Broome,15830.0,27766,3500428.0,6311.0,8839.0,1367168.0,9519.0,18927.0,2133260.0,0,inf,0.2328271391546257,,,,
51,2019,March,3.0,3.0,Broome,15960.0,28047,3522755.0,6374.0,9008.0,1384209.0,9586.0,19039.0,2138546.0,0,inf,0.2328271391546257,,,,
52,2019,February,2.0,3.0,Broome,15900.0,27947,3517025.0,6341.0,8970.0,1386418.0,9559.0,18977.0,2130607.0,0,inf,0.2328271391546257,,,,
53,2019,January,1.0,3.0,Broome,16072.0,28385,3566255.0,6385.0,9135.0,1400636.0,9687.0,19250.0,2165619.0,0,inf,0.2328271391546257,,,,
54,2020,June,6.0,4.0,Cattaraugus,5889.0,10544,1741571.0,2020.0,2545.0,453729.0,3869.0,7999.0,1287842.0,0,inf,0.2394854361214381,,,,
55,2020,May,5.0,4.0,Cattaraugus,6010.0,10920,1927274.0,1999.0,2529.0,472024.0,4011.0,8391.0,1455250.0,0,inf,0.2394854361214381,,,,
56,2020,April,4.0,4.0,Cattaraugus,6034.0,10923,2583704.0,1987.0,2488.0,543978.0,4047.0,8435.0,2039726.0,0,inf,0.2394854361214381,,,,
57,2020,March,3.0,4.0,Cattaraugus,5742.0,10389,1183086.0,1949.0,2451.0,380071.0,3793.0,7938.0,803015.0,0,inf,0.2394854361214381,,,,
58,2020,February,2.0,4.0,Cattaraugus,5730.0,10394,1178234.0,1946.0,2442.0,377704.0,3784.0,7952.0,800530.0,0,inf,0.2394854361214381,,,,
59,2020,January,1.0,4.0,Cattaraugus,5745.0,10449,1190762.0,1945.0,2457.0,380804.0,3800.0,7992.0,809958.0,0,inf,0.2394854361214381,,,,
60,2019,December,12.0,4.0,Cattaraugus,5720.0,10381,1199409.0,1929.0,2426.0,380972.0,3791.0,7955.0,818437.0,0,inf,0.2328271391546257,,,,
61,2019,November,11.0,4.0,Cattaraugus,5688.0,10270,1189490.0,1948.0,2476.0,387230.0,3740.0,7794.0,802260.0,0,inf,0.2328271391546257,,,,
62,2019,October,10.0,4.0,Cattaraugus,5707.0,10372,1207613.0,1939.0,2460.0,384507.0,3768.0,7912.0,823106.0,0,inf,0.2328271391546257,,,,
63,2019,September,9.0,4.0,Cattaraugus,5678.0,10282,1181642.0,1906.0,2422.0,370701.0,3772.0,7860.0,810941.0,0,inf,0.2328271391546257,,,,
64,2019,August,8.0,4.0,Cattaraugus,5750.0,10417,1192329.0,1918.0,2452.0,371289.0,3832.0,7965.0,821040.0,0,inf,0.2328271391546257,,,,
65,2019,July,7.0,4.0,Cattaraugus,5788.0,10504,1191951.0,1913.0,2455.0,373504.0,3875.0,8049.0,818447.0,0,inf,0.2328271391546257,,,,
66,2019,June,6.0,4.0,Cattaraugus,5796.0,10514,1191708.0,1922.0,2457.0,373948.0,3874.0,8057.0,817760.0,0,inf,0.2328271391546257,,,,
67,2019,May,5.0,4.0,Cattaraugus,5850.0,10669,1200501.0,1937.0,2459.0,377019.0,3913.0,8210.0,823482.0,0,inf,0.2328271391546257,,,,
68,2019,April,4.0,4.0,Cattaraugus,5844.0,10718,1207087.0,1890.0,2417.0,370326.0,3954.0,8301.0,836761.0,0,inf,0.2328271391546257,,,,
69,2019,March,3.0,4.0,Cattaraugus,5874.0,10827,1212279.0,1900.0,2457.0,373130.0,3974.0,8370.0,839149.0,0,inf,0.2328271391546257,,,,
70,2019,February,2.0,4.0,Cattaraugus,5907.0,10929,1224137.0,1897.0,2448.0,374357.0,4010.0,8481.0,849780.0,0,inf,0.2328271391546257,,,,
71,2019,January,1.0,4.0,Cattaraugus,5948.0,10999,1242729.0,1912.0,2450.0,377135.0,4036.0,8549.0,865594.0,0,inf,0.2328271391546257,,,,
72,2020,June,6.0,5.0,Cayuga,4963.0,8707,1491434.0,1521.0,2029.0,360548.0,3442.0,6678.0,1130886.0,0,inf,0.2394854361214381,,,,
73,2020,May,5.0,5.0,Cayuga,5285.0,9617,1705971.0,1517.0,2019.0,370448.0,3768.0,7598.0,1335523.0,0,inf,0.2394854361214381,,,,
74,2020,April,4.0,5.0,Cayuga,5284.0,9546,2197964.0,1523.0,2028.0,431835.0,3761.0,7518.0,1766129.0,0,inf,0.2394854361214381,,,,
75,2020,March,3.0,5.0,Cayuga,4960.0,9000,1086255.0,1483.0,1985.0,302279.0,3477.0,7015.0,783976.0,0,inf,0.2394854361214381,,,,
76,2020,February,2.0,5.0,Cayuga,4968.0,8967,1081680.0,1486.0,1993.0,304859.0,3482.0,6974.0,776821.0,0,inf,0.2394854361214381,,,,
77,2020,January,1.0,5.0,Cayuga,4982.0,9021,1088165.0,1496.0,2013.0,308989.0,3486.0,7008.0,779176.0,0,inf,0.2394854361214381,,,,
78,2019,December,12.0,5.0,Cayuga,4954.0,8932,1087949.0,1494.0,2008.0,311246.0,3460.0,6924.0,776703.0,0,inf,0.2328271391546257,,,,
79,2019,November,11.0,5.0,Cayuga,4961.0,8939,1097934.0,1502.0,2052.0,316959.0,3459.0,6887.0,780975.0,0,inf,0.2328271391546257,,,,
80,2019,October,10.0,5.0,Cayuga,4960.0,8951,1094699.0,1516.0,2063.0,317714.0,3444.0,6888.0,776985.0,0,inf,0.2328271391546257,,,,
81,2019,September,9.0,5.0,Cayuga,4984.0,8983,1095854.0,1519.0,2056.0,313881.0,3465.0,6927.0,781973.0,0,inf,0.2328271391546257,,,,
82,2019,August,8.0,5.0,Cayuga,5023.0,9085,1098690.0,1520.0,2062.0,315020.0,3503.0,7023.0,783670.0,0,inf,0.2328271391546257,,,,
83,2019,July,7.0,5.0,Cayuga,5061.0,9145,1101623.0,1539.0,2081.0,317494.0,3522.0,7064.0,784129.0,0,inf,0.2328271391546257,,,,
84,2019,June,6.0,5.0,Cayuga,5081.0,9194,1108221.0,1562.0,2101.0,320130.0,3519.0,7093.0,788091.0,0,inf,0.2328271391546257,,,,
85,2019,May,5.0,5.0,Cayuga,5139.0,9324,1123422.0,1556.0,2114.0,320961.0,3583.0,7210.0,802461.0,0,inf,0.2328271391546257,,,,
86,2019,April,4.0,5.0,Cayuga,5171.0,9390,1123751.0,1562.0,2112.0,319823.0,3609.0,7278.0,803928.0,0,inf,0.2328271391546257,,,,
87,2019,March,3.0,5.0,Cayuga,5216.0,9520,1144047.0,1569.0,2113.0,324979.0,3647.0,7407.0,819068.0,0,inf,0.2328271391546257,,,,
88,2019,February,2.0,5.0,Cayuga,5188.0,9479,1141414.0,1553.0,2082.0,321059.0,3635.0,7397.0,820355.0,0,inf,0.2328271391546257,,,,
89,2019,January,1.0,5.0,Cayuga,5204.0,9578,1152503.0,1540.0,2063.0,317560.0,3664.0,7515.0,834943.0,0,inf,0.2328271391546257,,,,
90,2020,June,6.0,6.0,Chautauqua,12990.0,23261,4082872.0,3935.0,5742.0,1021864.0,9055.0,17519.0,3061008.0,0,inf,0.2394854361214381,,,,
91,2020,May,5.0,6.0,Chautauqua,13367.0,24459,4316492.0,3906.0,5744.0,1038122.0,9461.0,18715.0,3278370.0,0,inf,0.2394854361214381,,,,
92,2020,April,4.0,6.0,Chautauqua,13459.0,24173,5452713.0,3905.0,5731.0,1223136.0,9554.0,18442.0,4229577.0,0,inf,0.2394854361214381,,,,
93,2020,March,3.0,6.0,Chautauqua,13071.0,23757,2986171.0,3889.0,5756.0,849163.0,9182.0,18001.0,2137008.0,0,inf,0.2394854361214381,,,,
94,2020,February,2.0,6.0,Chautauqua,13047.0,23749,2973565.0,3898.0,5754.0,846423.0,9149.0,17995.0,2127142.0,0,inf,0.2394854361214381,,,,
95,2020,January,1.0,6.0,Chautauqua,13006.0,23678,2961748.0,3895.0,5742.0,843916.0,9111.0,17936.0,2117832.0,0,inf,0.2394854361214381,,,,
96,2019,December,12.0,6.0,Chautauqua,12889.0,23489,2957744.0,3866.0,5649.0,840822.0,9023.0,17840.0,2116922.0,0,inf,0.2328271391546257,,,,
97,2019,November,11.0,6.0,Chautauqua,12682.0,23225,2921368.0,3842.0,5673.0,845813.0,8840.0,17552.0,2075555.0,0,inf,0.2328271391546257,,,,
98,2019,October,10.0,6.0,Chautauqua,12564.0,22966,2904292.0,3836.0,5611.0,845840.0,8728.0,17355.0,2058452.0,0,inf,0.2328271391546257,,,,
99,2019,September,9.0,6.0,Chautauqua,12379.0,22702,2807352.0,3803.0,5560.0,822284.0,8576.0,17142.0,1985068.0,0,inf,0.2328271391546257,,,,
100,2019,August,8.0,6.0,Chautauqua,12295.0,22630,2780293.0,3804.0,5540.0,817227.0,8491.0,17090.0,1963066.0,0,inf,0.2328271391546257,,,,
101,2019,July,7.0,6.0,Chautauqua,12433.0,22753,2805947.0,3824.0,5551.0,821226.0,8609.0,17202.0,1984721.0,0,inf,0.2328271391546257,,,,
102,2019,June,6.0,6.0,Chautauqua,12485.0,22914,2827525.0,3877.0,5622.0,832524.0,8608.0,17292.0,1995001.0,0,inf,0.2328271391546257,,,,
103,2019,May,5.0,6.0,Chautauqua,12645.0,23169,2875237.0,3942.0,5766.0,853011.0,8703.0,17403.0,2022226.0,0,inf,0.2328271391546257,,,,
104,2019,April,4.0,6.0,Chautauqua,12643.0,23223,2865470.0,3951.0,5782.0,863417.0,8692.0,17441.0,2002053.0,0,inf,0.2328271391546257,,,,
105,2019,March,3.0,6.0,Chautauqua,12773.0,23560,2900042.0,3993.0,5908.0,876085.0,8780.0,17652.0,2023957.0,0,inf,0.2328271391546257,,,,
106,2019,February,2.0,6.0,Chautauqua,12739.0,23503,2912088.0,3967.0,5850.0,871732.0,8772.0,17653.0,2040356.0,0,inf,0.2328271391546257,,,,
107,2019,January,1.0,6.0,Chautauqua,12906.0,23959,2974555.0,3999.0,5945.0,890455.0,8907.0,18014.0,2084100.0,0,inf,0.2328271391546257,,,,
108,2020,June,6.0,7.0,Chemung,7534.0,13684,2367798.0,2149.0,2611.0,480293.0,5385.0,11073.0,1887505.0,0,inf,0.2394854361214381,,,,
109,2020,May,5.0,7.0,Chemung,7547.0,13849,2498635.0,2140.0,2613.0,493352.0,5407.0,11236.0,2005283.0,0,inf,0.2394854361214381,,,,
110,2020,April,4.0,7.0,Chemung,7590.0,13822,2993086.0,2115.0,2569.0,557835.0,5475.0,11253.0,2435251.0,0,inf,0.2394854361214381,,,,
111,2020,March,3.0,7.0,Chemung,7192.0,13044,1697347.0,2101.0,2547.0,390884.0,5091.0,10497.0,1306463.0,0,inf,0.2394854361214381,,,,
112,2020,February,2.0,7.0,Chemung,7131.0,12919,1674259.0,2096.0,2550.0,393492.0,5035.0,10369.0,1280767.0,0,inf,0.2394854361214381,,,,
113,2020,January,1.0,7.0,Chemung,7112.0,12926,1645689.0,2093.0,2545.0,393052.0,5019.0,10381.0,1252637.0,0,inf,0.2394854361214381,,,,
114,2019,December,12.0,7.0,Chemung,7071.0,12870,1663040.0,2095.0,2536.0,398331.0,4976.0,10334.0,1264709.0,0,inf,0.2328271391546257,,,,
115,2019,November,11.0,7.0,Chemung,7024.0,12754,1656284.0,2098.0,2528.0,396435.0,4926.0,10226.0,1259849.0,0,inf,0.2328271391546257,,,,
116,2019,October,10.0,7.0,Chemung,7010.0,12769,1662257.0,2086.0,2496.0,392133.0,4924.0,10273.0,1270124.0,0,inf,0.2328271391546257,,,,
117,2019,September,9.0,7.0,Chemung,7007.0,12749,1633428.0,2105.0,2522.0,390381.0,4902.0,10227.0,1243047.0,0,inf,0.2328271391546257,,,,
118,2019,August,8.0,7.0,Chemung,7017.0,12783,1624023.0,2122.0,2557.0,390602.0,4895.0,10226.0,1233421.0,0,inf,0.2328271391546257,,,,
119,2019,July,7.0,7.0,Chemung,7057.0,12836,1645784.0,2117.0,2538.0,387804.0,4940.0,10298.0,1257980.0,0,inf,0.2328271391546257,,,,
120,2019,June,6.0,7.0,Chemung,6989.0,12755,1627315.0,2096.0,2517.0,382917.0,4893.0,10238.0,1244398.0,0,inf,0.2328271391546257,,,,
121,2019,May,5.0,7.0,Chemung,6998.0,12803,1615940.0,2104.0,2530.0,383560.0,4894.0,10273.0,1232380.0,0,inf,0.2328271391546257,,,,
122,2019,April,4.0,7.0,Chemung,7019.0,12895,1612558.0,2099.0,2528.0,382976.0,4920.0,10367.0,1229582.0,0,inf,0.2328271391546257,,,,
123,2019,March,3.0,7.0,Chemung,7146.0,13175,1652850.0,2121.0,2564.0,390910.0,5025.0,10611.0,1261940.0,0,inf,0.2328271391546257,,,,
124,2019,February,2.0,7.0,Chemung,7137.0,13094,1649128.0,2129.0,2594.0,397581.0,5008.0,10500.0,1251547.0,0,inf,0.2328271391546257,,,,
125,2019,January,1.0,7.0,Chemung,7187.0,13224,1663961.0,2137.0,2613.0,396877.0,5050.0,10611.0,1267084.0,0,inf,0.2328271391546257,,,,
